cell_index,cell_id,cell_type,markdown_heading,execution_count,defined_variables,referenced_input_files,written_output_files,displayed_output_type,model_or_analysis_name,inferred_status,notes
0,b290b6cf,markdown,"<a href=""https://colab.research.google.com/github/miosync-masa/Beyond_Arbitrariness/blob/main/Beyond_Arbitrariness_BetaB",,,,,none,,infrastructure,narrative/section heading
1,sz6ZGUh9WmDH,markdown,Beyond Arbitrariness — Paper 1 statistical pipeline,,,,,none,,infrastructure,narrative/section heading
2,nPudhd8QWmDK,code,,1,,,,stream,,infrastructure,supporting code / definitions / figure IO / export
3,FrT4fDHxWmDK,code,,2,SEED,,,stream,,infrastructure,environment / setup / provenance
4,YsVBhUKiWmDL,code,,3,ROOT; REPO; ASJP; LEXIBANK; DERIVED; RESULTS; FIGURES; MODELS; meta; clone_or_pull; git_sha,,,execute_result,,infrastructure,environment / setup / provenance
5,-XLFXkPxWmDL,markdown,Shared phoneme classification,,,,,none,,infrastructure,narrative/section heading
6,jJ3bvpECWmDL,code,,4,ASJP_VOWELS; ASJP_CONSONANTS; IPA_VOWELS; IPA_STRIP; asjp_segments; clean_ipa; is_ipa_vowel; ipa_segments; final_cluster,,,none,,infrastructure,preprocessing definitions / figure IO / export
7,5Xd0nkFbWmDM,code,,5,asjp_forms; asjp_lang; lex_lang; build_asjp; build_lexibank; aggregate_language,"ASJP/""cldf/languages.csv""; ASJP/""cldf/parameters.csv""; ASJP/""cldf/forms.csv""; lang_path; forms_path; cldf/languages.csv; cldf/parameters.csv; cldf/forms.csv; ] = seg.map(lambda x: final_cluster([z in ASJP_VOWELS for z in x]))
    return d

def build_lexibank():
    # The repository currently stores the large forms table as forms.csv.zip.
    # pandas can read a single-file ZIP archive directly.
    lang_path = LEXIBANK /; languages.csv; cldf; forms.csv; forms.csv.zip","DERIVED/""paper1_asjp_language_summary.parquet""; DERIVED/""paper1_lexibank_language_summary.parquet""; cldf/languages.csv; cldf/parameters.csv; cldf/forms.csv; languages.csv; forms.csv; paper1_asjp_language_summary.parquet; paper1_lexibank_language_summary.parquet",stream,languages,infrastructure,preprocessing definitions / figure IO / export
8,NOnHeNaOWmDM,markdown,Descriptive reproduction,,,,,none,,infrastructure,narrative/section heading
9,f-rXHxGTWmDM,code,,6,bands; band_summary,,"RESULTS/""descriptive_latitude_bands.csv""; FIGURES/""descriptive_latitude_gradient.pdf""; descriptive_latitude_bands.csv; descriptive_latitude_gradient.pdf",image; execute_result,descriptive_latitude_bands,diagnostic,diagnostic / PPC / audit / descriptive / reporting table
